Menu Type,Menu Depth,Menu Breadth,Target Item
Marking,1,4,Continents
Marking,1,4,Food
Marking,1,4,Animals
Marking,1,2,Clothing
Marking,1,2,Continents
Marking,1,2,Food
Marking,2,4,Fruit
Marking,2,4,Reptiles
Marking,2,4,Europe
Marking,2,2,Birds
Marking,2,2,Africa
Marking,2,2,Vegetables
Marking,3,4,Singapore
Marking,3,4,Bacon
Marking,3,4,T-Shirt
Marking,3,2,Pork
Marking,3,2,Milk
Marking,3,2,Jacket
Radial,1,4,Animals
Radial,1,4,Clothing
Radial,1,4,Food
Radial,1,2,Animals
Radial,1,2,Continents
Radial,1,2,Food
Radial,2,4,America
Radial,2,4,Hats
Radial,2,4,Fruit
Radial,2,2,Shoes
Radial,2,2,Fish
Radial,2,2,Asia
Radial,3,4,Jeans
Radial,3,4,Shark
Radial,3,4,Jacket
Radial,3,2,Goldfish
Radial,3,2,Owl
Radial,3,2,USA
