Menu Type,Menu Depth,Menu Breadth,Target Item
Marking,1,2,Animals
Marking,1,2,Clothing
Marking,1,2,Food
Marking,1,4,Clothing
Marking,1,4,Continents
Marking,1,4,Animals
Marking,2,2,Hats
Marking,2,2,Fish
Marking,2,2,Asia
Marking,2,4,Vegetables
Marking,2,4,Africa
Marking,2,4,Birds
Marking,3,2,Shark
Marking,3,2,Beef
Marking,3,2,England
Marking,3,4,Singapore
Marking,3,4,Potatoes
Marking,3,4,Skirt
Radial,1,2,Continents
Radial,1,2,Food
Radial,1,2,Animals
Radial,1,4,Clothing
Radial,1,4,Food
Radial,1,4,Animals
Radial,2,2,Shoes
Radial,2,2,Vegetables
Radial,2,2,Birds
Radial,2,4,Europe
Radial,2,4,Bottoms
Radial,2,4,Dairy
Radial,3,2,USA
Radial,3,2,Owl
Radial,3,2,Goldfish
Radial,3,4,Butter
Radial,3,4,Leggings
Radial,3,4,Ham
